"region","submission","activity","path","type","pollutant","fuel","product","species","unit","scenario","confidential","crf_variable","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"DE","DE_NEXT","NATURAL_GAS_COMPRESSORS","SECTORAL_APPROACH,1A,1A3,1A3e,NATURAL_GAS_COMPRESSORS","ETS-EmB (CO2eq)","CO2",,,,"kt","REF","FALSE",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3165.924,2849.981,2792.796,2462.906,2595.502,2503.657,2406.35,769.253
"DE","DE_NEXT","NATURAL_GAS_COMPRESSORS_TA_LUFT_ENERGY_BALANCE","SECTORAL_APPROACH,1A,1A3,1A3e,NATURAL_GAS_COMPRESSORS,NATURAL_GAS_COMPRESSORS_TA_LUFT,NATURAL_GAS_COMPRESSORS_TA_LUFT_ENERGY_BALANCE","AD",,"NATURAL_GAS",,,"TJ","REF","FALSE",,0.0,0.0,0.0,0.0,0.0,13050.0,15465.0,14198.0,14281.0,16852.0,14630.0,16344.0,28689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ABL","DE_NEXT","NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","SECTORAL_APPROACH,1A,1A3,1A3e,NATURAL_GAS_COMPRESSORS,NATURAL_GAS_COMPRESSORS_TA_LUFT,NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","AD",,"NATURAL_GAS",,,"TJ","REF","FALSE","261C650B-9138-4EF9-84AB-7E359477590E",17066.0,18356.0,18041.0,18815.0,18711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NBL","DE_NEXT","NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","SECTORAL_APPROACH,1A,1A3,1A3e,NATURAL_GAS_COMPRESSORS,NATURAL_GAS_COMPRESSORS_TA_LUFT,NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","AD",,"NATURAL_GAS",,,"TJ","REF","FALSE",,2383.0,2081.0,2164.0,2566.0,3061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DE","DE_NEXT","NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","SECTORAL_APPROACH,1A,1A3,1A3e,NATURAL_GAS_COMPRESSORS,NATURAL_GAS_COMPRESSORS_TA_LUFT,NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","AD",,"NATURAL_GAS",,,"TJ","REF","FALSE",,0.0,0.0,0.0,0.0,0.0,10690.0,11101.0,11181.0,11331.0,8685.0,10694.0,10362.0,0.0,26988.0,1717.0,1695.02,1824.27,1540.84,1375.34,2357.28,1796.86,2185.25,2094.81,1867.41,1502.08,1611.45,1280.0,1901.08,1147.47,1135.43,973.04
"DE","DE_NEXT","NATURAL_GAS_COMPRESSORS_LCP","SECTORAL_APPROACH,1A,1A3,1A3e,NATURAL_GAS_COMPRESSORS,NATURAL_GAS_COMPRESSORS_LCP","AD",,"NATURAL_GAS",,,"TJ","REF","FALSE",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25408.0,24805.62,28081.64,22878.57,24270.95,21809.8,19223.83,19756.44,20014.88,24404.75,19862.56,20414.55,17457.07,20520.78,22708.77,20281.64,12775.27
"DE","DE_NEXT","NATURAL_GAS_COMPRESSORS_TA_LUFT_ENERGY_BALANCE","SECTORAL_APPROACH,1A,1A3,1A3e,NATURAL_GAS_COMPRESSORS,NATURAL_GAS_COMPRESSORS_TA_LUFT,NATURAL_GAS_COMPRESSORS_TA_LUFT_ENERGY_BALANCE","EF","CO2","NATURAL_GAS",,,"kg","REF","FALSE",,0.0,0.0,0.0,0.0,0.0,55758.8,55800.4,55846.4,55824.6,55838.0,55846.6,55882.6,55891.9,55867.0,55857.9,55884.8,55869.0,55852.8,55867.7,55932.1,55928.0,55933.6,55916.8,55943.58,55936.0,55888.8,55840.38,55826.75,55717.55,55748.51,55826.2
"ABL","DE_NEXT","NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","SECTORAL_APPROACH,1A,1A3,1A3e,NATURAL_GAS_COMPRESSORS,NATURAL_GAS_COMPRESSORS_TA_LUFT,NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","EF","CO2","NATURAL_GAS",,,"kg","REF","FALSE",,55726.1,55762.7,55800.7,55776.5,55767.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NBL","DE_NEXT","NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","SECTORAL_APPROACH,1A,1A3,1A3e,NATURAL_GAS_COMPRESSORS,NATURAL_GAS_COMPRESSORS_TA_LUFT,NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","EF","CO2","NATURAL_GAS",,,"kg","REF","FALSE",,55495.3,55477.3,55446.6,55408.5,55377.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DE","DE_NEXT","NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","SECTORAL_APPROACH,1A,1A3,1A3e,NATURAL_GAS_COMPRESSORS,NATURAL_GAS_COMPRESSORS_TA_LUFT,NATURAL_GAS_COMPRESSORS_TA_LUFT_NON_ENERGY_BALANCE","EF","CO2","NATURAL_GAS",,,"kg","REF","FALSE",,0.0,0.0,0.0,0.0,0.0,55758.8,55800.4,55846.4,55824.6,55838.0,55846.6,55882.6,55891.9,55867.0,55857.9,55884.8,55869.0,55852.8,55867.7,55932.1,55928.0,55933.6,55916.8,55943.58,55936.0,55888.8,55840.38,55826.75,55717.55,55748.51,55826.2
